usr_id;usr_f_nam;usr_l_nam;email;mobile
1;Assistant;Market;Michelle63@hotmail.com;61727
2;User-friendly Concrete;pricing;Leopoldo12@gmail.com;41671
3;Implementation Consultant Kong;Rubber Chile;Dorothea_Johnston79@gmail.com;95733
4;Direct;Implementation Administrator;Margaretta30@gmail.com;9978
5;bypass California Spurs;secondary Front-line Tennessee;Noemy45@gmail.com;23389
6;primary;Renminbi plum;Maxine_Gislason61@hotmail.com;41497
7;Electronics;redundant;Lupe16@hotmail.com;63982
8;Pine Nevada Court;FTP Concrete;Nova.Boehm53@hotmail.com;18178
9;architectures Georgia;override;Mack.Bartoletti36@yahoo.com;82805
10;Loan Handcrafted Architect;Liaison overriding;Hilda.Jones7@gmail.com;21614
